Row ID,Order ID,Order Date,Date Key,Country,Region,Subregion,Customer,Customer ID,Industry,Segment,Product,License,Sales,Quantity,Discount,Profit
7479,EMEA-2020-167199,1/7/2020,20200107,Ireland,EMEA,UKIR,Royal Dutch Shell,1031,Energy,Enterprise,Site Analytics,6DT08CG4NM,755.96,4,0,204.1092
7480,EMEA-2020-167199,1/7/2020,20200107,Ireland,EMEA,UKIR,Royal Dutch Shell,1031,Energy,Enterprise,Storage,EL9IVQDQYK,31.12,4,0,0.3112
7481,EMEA-2020-167199,1/7/2020,20200107,Ireland,EMEA,UKIR,Royal Dutch Shell,1031,Energy,Enterprise,Support,J7233EJWT8,6.54,1,0,3.0084
7661,APJ-2020-105417,1/8/2020,20200108,Japan,APJ,JAPN,Nestle,1089,Consumer Products,SMB,SaaS Connector Pack,ULJE83ECK7,76.728,3,0.6,-53.7096
7662,APJ-2020-105417,1/8/2020,20200108,Japan,APJ,JAPN,Nestle,1089,Consumer Products,SMB,ContactMatcher,5MLMIPTGXP,10.43,7,0.8,-18.2525
593,APJ-2020-135405,1/10/2020,20200110,Japan,APJ,JAPN,Apple,1008,Tech,SMB,ChatBot Plugin,XZTQBCZOYF,9.344,2,0.2,1.168
594,APJ-2020-135405,1/10/2020,20200110,Japan,APJ,JAPN,Apple,1008,Tech,SMB,Data Smasher,MVSSSDP56F,31.2,3,0.2,9.75
866,EMEA-2020-149020,1/11/2020,20200111,Spain,EMEA,EU-WEST,Airbus,1030,Manufacturing,Strategic,FinanceHub,NI34HEJEB8,2.89,1,0,1.3583
867,EMEA-2020-149020,1/11/2020,20200111,Spain,EMEA,EU-WEST,Airbus,1030,Manufacturing,Strategic,SaaS Connector Pack,JUOKGBRY2J,51.94,1,0,21.2954
717,APJ-2020-130092,1/12/2020,20200112,Philippines,APJ,APAC,Wells Fargo,1099,Finance,SMB,SaaS Connector Pack,LOZTAYAQ03,9.94,2,0,3.0814
764,EMEA-2020-162775,1/14/2020,20200114,Czech Republic,EMEA,EU-EAST,Bosch,1076,Tech,Strategic,SaaS Connector Pack - Gold,75LIU26K7H,11.36,2,0,5.3392
765,EMEA-2020-162775,1/14/2020,20200114,Czech Republic,EMEA,EU-EAST,Bosch,1076,Tech,Strategic,SaaS Connector Pack - Gold,955XW8SASF,50.94,3,0,25.47
766,EMEA-2020-162775,1/14/2020,20200114,Czech Republic,EMEA,EU-EAST,Bosch,1076,Tech,Strategic,Data Smasher,SZ09O2NFTT,646.74,6,0,258.696
767,EMEA-2020-162775,1/14/2020,20200114,Czech Republic,EMEA,EU-EAST,Bosch,1076,Tech,Strategic,ContactMatcher,AGXOWY4XQ2,5.64,3,0,2.7072
768,EMEA-2020-162775,1/14/2020,20200114,Czech Republic,EMEA,EU-EAST,Bosch,1076,Tech,Strategic,Marketing Suite - Gold,IUBA4R9OS6,572.58,6,0,34.3548
2979,AMER-2020-109232,1/14/2020,20200114,Colombia,AMER,LATAM,Airbus,1030,Manufacturing,SMB,FinanceHub,E74RB0N8HB,545.94,6,0,87.3504
4938,AMER-2020-157147,1/14/2020,20200114,United States,AMER,NAMER,Amazon,1004,Tech,SMB,Marketing Suite - Gold,09IKCJITP5,1325.85,5,0,238.653
4939,AMER-2020-157147,1/14/2020,20200114,United States,AMER,NAMER,Amazon,1004,Tech,SMB,Marketing Suite,KTKCLYH9LD,333.999,3,0.15,3.9294
4940,AMER-2020-157147,1/14/2020,20200114,United States,AMER,NAMER,Amazon,1004,Tech,SMB,ChatBot Plugin,275E3721OX,19.9,5,0,6.567
9629,AMER-2020-118192,1/14/2020,20200114,Mexico,AMER,LATAM,Anthem,1029,Healthcare,SMB,Support,D4Z08RLOMC,37.408,7,0.2,13.0928
9630,AMER-2020-118192,1/14/2020,20200114,Mexico,AMER,LATAM,Anthem,1029,Healthcare,SMB,ContactMatcher,B7R2G3A150,3.438,2,0.7,-2.5212
6475,EMEA-2020-149524,1/15/2020,20200115,France,EMEA,EU-WEST,Morgan Stanley,1068,Finance,Strategic,Marketing Suite,J25TOFSQHP,61.96,4,0.5,-53.2856
1914,EMEA-2020-103366,1/16/2020,20200116,Finland,EMEA,NOR,Aviva,1006,Finance,SMB,Data Smasher,1HICPTZJYS,149.95,5,0,65.978
971,EMEA-2020-115791,1/17/2020,20200117,France,EMEA,EU-WEST,Goldman Sachs Group,1042,Finance,SMB,SaaS Connector Pack,1XXB2KOFXB,127.104,6,0.2,28.5984
972,EMEA-2020-115791,1/17/2020,20200117,France,EMEA,EU-WEST,Goldman Sachs Group,1042,Finance,SMB,Site Analytics,MS2AFAQE78,124.2,3,0.4,-31.05
973,EMEA-2020-115791,1/17/2020,20200117,France,EMEA,EU-WEST,Goldman Sachs Group,1042,Finance,SMB,ContactMatcher,614XJBPKMW,18.588,2,0.7,-13.6312
974,EMEA-2020-115791,1/17/2020,20200117,France,EMEA,EU-WEST,Goldman Sachs Group,1042,Finance,SMB,FinanceHub,GWV90CFUWQ,30.072,3,0.2,10.1493
5365,EMEA-2020-123477,1/19/2020,20200119,Belgium,EMEA,EU-WEST,Engie,1062,Energy,Strategic,OneView,NJHH6TLPLG,64.864,4,0.2,6.4864
5463,AMER-2020-146591,1/20/2020,20200120,Chile,AMER,LATAM,Pemex,1058,Energy,SMB,ContactMatcher,84MDWCC72V,32.34,10,0.7,-23.716
5464,AMER-2020-146591,1/20/2020,20200120,Chile,AMER,LATAM,Pemex,1058,Energy,SMB,Support,NC63MIK23I,56.064,4,0.2,19.6224
5465,AMER-2020-146591,1/20/2020,20200120,Chile,AMER,LATAM,Pemex,1058,Energy,SMB,SaaS Connector Pack - Gold,0WV94HERYR,108.72,5,0.2,36.693
5466,AMER-2020-146591,1/20/2020,20200120,Chile,AMER,LATAM,Pemex,1058,Energy,SMB,Marketing Suite,JSKJKZ2P6X,181.47,5,0.7,-320.597
1122,EMEA-2020-147627,1/21/2020,20200121,United Arab Emirates,EMEA,MEA,Lowes,1060,Retail,SMB,Site Analytics,YSPTDWBFPL,699.93,7,0,181.9818
1123,EMEA-2020-147627,1/21/2020,20200121,United Arab Emirates,EMEA,MEA,Lowes,1060,Retail,SMB,ChatBot Plugin,2ZDRLNR2FS,22.96,7,0,6.6584
1124,EMEA-2020-147627,1/21/2020,20200121,United Arab Emirates,EMEA,MEA,Lowes,1060,Retail,SMB,SaaS Connector Pack,84JMATCAFH,38.6,4,0,11.58
1125,EMEA-2020-147627,1/21/2020,20200121,United Arab Emirates,EMEA,MEA,Lowes,1060,Retail,SMB,ChatBot Plugin,S5C61WNYV2,6.63,3,0,1.7901
1126,EMEA-2020-147627,1/21/2020,20200121,United Arab Emirates,EMEA,MEA,Lowes,1060,Retail,SMB,SaaS Connector Pack - Gold,T23K8FQEOL,23.34,3,0,10.9698
1127,EMEA-2020-147627,1/21/2020,20200121,United Arab Emirates,EMEA,MEA,Lowes,1060,Retail,SMB,FinanceHub,45BYNMTGFK,1067.94,3,0,224.2674
5737,AMER-2020-148614,1/21/2020,20200121,United States,AMER,NAMER,Engie,1062,Energy,SMB,Support,9XMCW2WLJ7,19.36,2,0,9.2928
5738,AMER-2020-148614,1/21/2020,20200121,United States,AMER,NAMER,Engie,1062,Energy,SMB,SaaS Connector Pack,FMLJGT5NUK,19.3,2,0,5.79
6327,AMER-2020-167927,1/21/2020,20200121,Brazil,AMER,LATAM,Prudential Financial,1078,Finance,SMB,Marketing Suite - Gold,LV08U7DY48,13.98,1,0,4.0542
6328,AMER-2020-167927,1/21/2020,20200121,Brazil,AMER,LATAM,Prudential Financial,1078,Finance,SMB,SaaS Connector Pack,73IH1RM3PF,272.94,3,0,30.0234
6329,AMER-2020-167927,1/21/2020,20200121,Brazil,AMER,LATAM,Prudential Financial,1078,Finance,SMB,ContactMatcher,55ZGR3I1XY,19.05,5,0,8.9535
6330,AMER-2020-167927,1/21/2020,20200121,Brazil,AMER,LATAM,Prudential Financial,1078,Finance,SMB,OneView,Q6ZJSI93UD,247.716,4,0.1,93.5816
6331,AMER-2020-167927,1/21/2020,20200121,Brazil,AMER,LATAM,Prudential Financial,1078,Finance,SMB,Marketing Suite - Gold,80DYOPGGTZ,66.58,2,0,15.9792
6332,AMER-2020-167927,1/21/2020,20200121,Brazil,AMER,LATAM,Prudential Financial,1078,Finance,SMB,ChatBot Plugin,BVJNJB1FJR,43.92,3,0,12.7368
6333,AMER-2020-167927,1/21/2020,20200121,Brazil,AMER,LATAM,Prudential Financial,1078,Finance,SMB,SaaS Connector Pack,9MCLCS8HT4,14.73,3,0,4.8609
6334,AMER-2020-167927,1/21/2020,20200121,Brazil,AMER,LATAM,Prudential Financial,1078,Finance,SMB,ContactMatcher,QG49D3BQ8V,29.7,5,0,13.365
7121,EMEA-2020-147774,1/21/2020,20200121,South Africa,EMEA,MEA,Goldman Sachs Group,1042,Finance,Strategic,ContactMatcher,DK1SN12PC5,67.194,1,0.7,-51.5154
9990,EMEA-2020-110422,1/22/2020,20200122,Germany,EMEA,EU-WEST,Johnson & Johnson,1055,Healthcare,SMB,SaaS Connector Pack,ETHXMB5TMD,25.248,3,0.2,4.1028
9156,EMEA-2020-102645,1/24/2020,20200124,Israel,EMEA,EU-EAST,Huawei,1086,Tech,SMB,Support,XQ3VY7NGXZ,40.08,6,0,19.2384
9887,APJ-2020-146997,1/24/2020,20200124,India,APJ,IND,Nissan Motor,1098,Transportation,SMB,Storage,9XWX0LE7EB,5.94,3,0,0
2579,EMEA-2020-155502,1/27/2020,20200127,Spain,EMEA,EU-WEST,BMW,1039,Manufacturing,Enterprise,SaaS Connector Pack,RPCMHQ19IM,62.82,3,0,30.7818
2580,EMEA-2020-155502,1/27/2020,20200127,Spain,EMEA,EU-WEST,BMW,1039,Manufacturing,Enterprise,Marketing Suite - Gold,KREVYTRNHY,489.92,8,0,0
2581,EMEA-2020-155502,1/27/2020,20200127,Spain,EMEA,EU-WEST,BMW,1039,Manufacturing,Enterprise,Support,NX8BZE54P6,19.44,3,0,9.3312
2582,EMEA-2020-155502,1/27/2020,20200127,Spain,EMEA,EU-WEST,BMW,1039,Manufacturing,Enterprise,Support,4U1AF8EESL,16.68,2,0,8.34
2583,EMEA-2020-155502,1/27/2020,20200127,Spain,EMEA,EU-WEST,BMW,1039,Manufacturing,Enterprise,Site Analytics,U59FBLMQK1,155.35,13,0,0
2584,EMEA-2020-155502,1/27/2020,20200127,Spain,EMEA,EU-WEST,BMW,1039,Manufacturing,Enterprise,SaaS Connector Pack,GLIZW7IU98,12.42,3,0,4.4712
2585,EMEA-2020-155502,1/27/2020,20200127,Spain,EMEA,EU-WEST,BMW,1039,Manufacturing,Enterprise,Site Analytics,H9I7YE0GW6,187.98,2,0,52.6344
8150,EMEA-2020-167997,1/27/2020,20200127,Croatia,EMEA,EU-WEST,Siemens,1043,Manufacturing,Strategic,ContactMatcher,2DQ5OVDAYR,10.68,2,0,5.0196
8151,EMEA-2020-167997,1/27/2020,20200127,Croatia,EMEA,EU-WEST,Siemens,1043,Manufacturing,Strategic,Marketing Suite,MKZA1ZJSAZ,141.96,2,0,39.7488
3795,AMER-2020-117163,1/28/2020,20200128,United States,AMER,NAMER,Kroger,1057,Retail,SMB,Marketing Suite - Gold,UIV6TGB9E5,57.23,1,0,14.3075
3796,AMER-2020-117163,1/28/2020,20200128,United States,AMER,NAMER,Kroger,1057,Retail,SMB,ContactMatcher,0JWVKB90FM,333,3,0.2,-16.65
3797,AMER-2020-117163,1/28/2020,20200128,United States,AMER,NAMER,Kroger,1057,Retail,SMB,ChatBot Plugin,I9613SK37A,36.44,4,0,12.0252
3084,EMEA-2020-100328,1/29/2020,20200129,United Kingdom,EMEA,UKIR,Honda Motor,1045,Manufacturing,SMB,ContactMatcher,6EBNJAD4LO,3.928,1,0.2,1.3257
6388,AMER-2020-134103,1/31/2020,20200131,Brazil,AMER,LATAM,Boeing,1014,Manufacturing,SMB,Support,K8T1AJYOXR,10.56,2,0,4.752
6389,AMER-2020-134103,1/31/2020,20200131,Brazil,AMER,LATAM,Boeing,1014,Manufacturing,SMB,Marketing Suite - Gold,9H35J024O7,229.94,2,0,6.8982
3366,AMER-2020-115161,2/1/2020,20200201,United States,AMER,NAMER,Lukoil,1044,Energy,SMB,Marketing Suite,G146C50CFX,290.666,2,0.15,3.4196
541,EMEA-2020-140795,2/2/2020,20200202,Italy,EMEA,EU,Verizon Communications,1094,Communications,SMB,Data Smasher,8KT1Y4PL7T,468.9,6,0,206.316
1704,AMER-2020-139857,2/3/2020,20200203,United States,AMER,NAMER,Carrefour,1048,Retail,Enterprise,Storage,YPF0YZA72R,12.35,5,0,5.8045
9138,EMEA-2020-123400,2/3/2020,20200203,Germany,EMEA,EU-WEST,Panasonic,1091,Tech,SMB,ContactMatcher,XK3WZG8IHY,18.336,2,0.7,-12.224
9139,EMEA-2020-123400,2/3/2020,20200203,Germany,EMEA,EU-WEST,Panasonic,1091,Tech,SMB,Site Analytics,5MU45EXXUJ,180.96,5,0.2,13.572
1518,AMER-2020-111059,2/4/2020,20200204,Canada,AMER,NAMER,Johnson & Johnson,1055,Healthcare,SMB,ContactMatcher,SD9I5XRF5R,83.84,2,0.2,27.248
1519,AMER-2020-111059,2/4/2020,20200204,Canada,AMER,NAMER,Johnson & Johnson,1055,Healthcare,SMB,ContactMatcher,BD2ELH74HB,13.272,3,0.2,4.3134
1544,AMER-2020-107181,2/5/2020,20200205,United States,AMER,NAMER,Kroger,1057,Retail,Enterprise,ContactMatcher,Z3QBMEEBQK,82.896,3,0.2,29.0136
1545,AMER-2020-107181,2/5/2020,20200205,United States,AMER,NAMER,Kroger,1057,Retail,Enterprise,Support,ODSJQ1C8GB,34.24,4,0,16.0928
8585,AMER-2020-104808,2/5/2020,20200205,United States,AMER,NAMER,Mondelez International,1067,Consumer Products,Strategic,ContactMatcher,SP0CVX7RBO,17.248,2,0.2,6.0368
1998,EMEA-2020-131905,2/7/2020,20200207,Spain,EMEA,EU-WEST,Volkswagen,1046,Manufacturing,Strategic,FinanceHub,E674UJRB7C,15,4,0,7.2
1999,EMEA-2020-131905,2/7/2020,20200207,Spain,EMEA,EU-WEST,Volkswagen,1046,Manufacturing,Strategic,Site Analytics,CU9QPSQ0A9,161.61,1,0,42.0186
2000,EMEA-2020-131905,2/7/2020,20200207,Spain,EMEA,EU-WEST,Volkswagen,1046,Manufacturing,Strategic,Site Analytics,XIKHXBBE49,144.95,5,0,42.0355
8981,APJ-2020-108182,2/7/2020,20200207,Australia,APJ,ANZ,Goldman Sachs Group,1042,Finance,SMB,ContactMatcher,PSVTWW1Y02,8.952,2,0.8,-14.7708
850,AMER-2020-107755,2/8/2020,20200208,Argentina,AMER,LATAM,HSBC Holdings,1070,Finance,Strategic,Data Smasher,7X4XYXS4OD,115.36,7,0,49.6048
8736,EMEA-2020-169390,2/8/2020,20200208,United Kingdom,EMEA,UKIR,Bosch,1076,Tech,Strategic,Marketing Suite - Gold,PLJAN3ILY5,64.96,4,0,9.744
9267,EMEA-2020-125759,2/9/2020,20200209,Israel,EMEA,EU-EAST,Itochu,1032,Finance,Enterprise,SaaS Connector Pack,4Z8KR1ZPLK,14.56,2,0,5.5328
5631,EMEA-2020-127614,2/12/2020,20200212,Spain,EMEA,EU-WEST,Walgreens,1095,Retail,SMB,Data Smasher,OKMLY28YRH,234.45,3,0,103.158
5632,EMEA-2020-127614,2/12/2020,20200212,Spain,EMEA,EU-WEST,Walgreens,1095,Retail,SMB,ContactMatcher,8UV9OSKVOL,1256.22,6,0,75.3732
5633,EMEA-2020-127614,2/12/2020,20200212,Spain,EMEA,EU-WEST,Walgreens,1095,Retail,SMB,ContactMatcher,CJBA5TEOJB,17.46,2,0,8.2062
9255,EMEA-2020-168368,2/12/2020,20200212,Poland,EMEA,EU-WEST,General Electric,1040,Finance,SMB,FinanceHub,A32RX80TZ2,60.89,1,0,15.2225
9256,EMEA-2020-168368,2/12/2020,20200212,Poland,EMEA,EU-WEST,General Electric,1040,Finance,SMB,FinanceHub,97U7PK3UWX,14.94,3,0,6.8724
9257,EMEA-2020-168368,2/12/2020,20200212,Poland,EMEA,EU-WEST,General Electric,1040,Finance,SMB,ContactMatcher,TRL7ZP08GA,9.64,2,0,4.4344
9258,EMEA-2020-168368,2/12/2020,20200212,Poland,EMEA,EU-WEST,General Electric,1040,Finance,SMB,SaaS Connector Pack,VLMFT69U6T,332.94,3,0,53.2704
9259,EMEA-2020-168368,2/12/2020,20200212,Poland,EMEA,EU-WEST,General Electric,1040,Finance,SMB,ContactMatcher,53AAXD4JTA,51.9,3,0,24.393
9260,EMEA-2020-168368,2/12/2020,20200212,Poland,EMEA,EU-WEST,General Electric,1040,Finance,SMB,Marketing Suite - Gold,7WUXBPL5IY,64.96,2,0,2.5984
457,AMER-2020-110674,2/13/2020,20200213,United States,AMER,NAMER,Anthem,1029,Healthcare,SMB,FinanceHub,S46B8II7DP,129.568,2,0.2,-24.294
5467,APJ-2020-107706,2/15/2020,20200215,Japan,APJ,JAPN,UnitedHealth Group,1092,Healthcare,SMB,Support,CB4HSXP3T4,16.176,3,0.2,6.066
9762,AMER-2020-121762,2/15/2020,20200215,Canada,AMER,NAMER,Siemens,1043,Manufacturing,Strategic,Data Smasher,K2CP0CUQUY,239.97,3,0,86.3892
9763,AMER-2020-121762,2/15/2020,20200215,Canada,AMER,NAMER,Siemens,1043,Manufacturing,Strategic,OneView,WD5S7HGABP,81.96,2,0,22.9488
9764,AMER-2020-121762,2/15/2020,20200215,Canada,AMER,NAMER,Siemens,1043,Manufacturing,Strategic,Support,6FJQEXZGYO,238.62,2,0,4.7724
7438,AMER-2020-165568,2/16/2020,20200216,Canada,AMER,NAMER,Enel,1013,Energy,Strategic,ContactMatcher,7CTTJTEOZI,21.36,5,0.2,7.209
1333,APJ-2020-122567,2/17/2020,20200217,Japan,APJ,JAPN,Engie,1062,Energy,SMB,ContactMatcher,2NRJ3UVCJS,1.08,3,0.8,-1.728
1334,APJ-2020-122567,2/17/2020,20200217,Japan,APJ,JAPN,Engie,1062,Energy,SMB,OneView,TZM06PWLU3,7.96,2,0.8,-13.93
9516,APJ-2020-154165,2/18/2020,20200218,Australia,APJ,ANZ,Goldman Sachs Group,1042,Finance,SMB,ChatBot Plugin,RCRMTL6X0X,54.208,14,0.2,8.8088
6082,APJ-2020-165589,2/19/2020,20200219,Japan,APJ,JAPN,Nissan Motor,1098,Transportation,SMB,SaaS Connector Pack,7OX0WJIMIC,25.16,5,0.6,-11.322
8223,APJ-2020-152905,2/19/2020,20200219,Japan,APJ,JAPN,Allstate,1003,Finance,SMB,Marketing Suite - Gold,403F0M7OVK,12.624,2,0.2,-2.5248
4521,APJ-2020-109491,2/21/2020,20200221,India,APJ,IND,Pemex,1058,Energy,Strategic,Data Smasher,JUB9QVLV48,62.31,3,0,22.4316
4522,APJ-2020-109491,2/21/2020,20200221,India,APJ,IND,Pemex,1058,Energy,Strategic,SaaS Connector Pack,0PJASELE5Q,20.32,4,0,6.9088
8504,AMER-2020-164903,2/21/2020,20200221,United States,AMER,NAMER,United Parcel Service,1090,Transportation,Enterprise,Support,S52VFMTUBZ,12.96,2,0,6.2208
2883,APJ-2020-165540,2/22/2020,20200222,Australia,APJ,ANZ,Sysco,1084,Consumer Products,SMB,ContactMatcher,GV9SB1GSN9,8.85,5,0.8,-13.7175
7611,AMER-2020-133354,2/23/2020,20200223,United States,AMER,NAMER,Chevron,1017,Energy,SMB,Support,YE03A05XM1,19.44,3,0,9.3312
6530,APJ-2020-103744,2/24/2020,20200224,Japan,APJ,JAPN,AmerisourceBergen,1007,Healthcare,Enterprise,FinanceHub,DKFCQQA18Y,6.936,3,0.2,2.3409
6531,APJ-2020-103744,2/24/2020,20200224,Japan,APJ,JAPN,AmerisourceBergen,1007,Healthcare,Enterprise,ContactMatcher,8VS2N1848F,4.428,3,0.8,-6.8634
5512,EMEA-2020-137680,2/25/2020,20200225,Belgium,EMEA,EU-WEST,Panasonic,1091,Tech,SMB,Support,XXUO62FM8J,32.896,4,0.2,11.1024
5513,EMEA-2020-137680,2/25/2020,20200225,Belgium,EMEA,EU-WEST,Panasonic,1091,Tech,SMB,Support,SRUD0KVO80,22.776,3,0.2,7.6869
9464,AMER-2020-156545,2/28/2020,20200228,Mexico,AMER,LATAM,Coca-Cola,1021,Consumer Products,SMB,ChatBot Plugin,BNDHJYI3TG,19.456,4,0.2,3.4048
158,AMER-2020-104269,3/1/2020,20200301,Canada,AMER,NAMER,American Express,1005,Finance,SMB,FinanceHub,TJX5D1WJAN,457.568,2,0.2,51.4764
5714,EMEA-2020-143707,3/1/2020,20200301,United Kingdom,EMEA,UKIR,Phillips 66,1056,Energy,Enterprise,Site Analytics,JNQD79IRS6,5.94,3,0,1.6038
6548,APJ-2020-113880,3/1/2020,20200301,Australia,APJ,ANZ,Intel,1051,Tech,Enterprise,FinanceHub,602WUL2MMK,634.116,6,0.3,-172.1172
6549,APJ-2020-113880,3/1/2020,20200301,Australia,APJ,ANZ,Intel,1051,Tech,Enterprise,Support,Y0PCZZKQZG,17.472,3,0.2,5.6784
7948,APJ-2020-131009,3/1/2020,20200301,Japan,APJ,JAPN,Apple,1008,Tech,SMB,Storage,6VOG0TZLB5,18.84,5,0.2,-3.5325
7949,APJ-2020-131009,3/1/2020,20200301,Japan,APJ,JAPN,Apple,1008,Tech,SMB,FinanceHub,QUXMUJ840K,362.25,6,0.3,0
7950,APJ-2020-131009,3/1/2020,20200301,Japan,APJ,JAPN,Apple,1008,Tech,SMB,SaaS Connector Pack,YYPTC8QWE5,63.552,6,0.6,-34.9536
7951,APJ-2020-131009,3/1/2020,20200301,Japan,APJ,JAPN,Apple,1008,Tech,SMB,Marketing Suite - Gold,J0YAAN3T86,129.552,3,0.2,-22.6716
8310,APJ-2020-168312,3/1/2020,20200301,Japan,APJ,JAPN,Amazon,1004,Tech,SMB,Marketing Suite - Gold,WMTZ36HQOU,137.352,3,0.2,8.5845
8311,APJ-2020-168312,3/1/2020,20200301,Japan,APJ,JAPN,Amazon,1004,Tech,SMB,ContactMatcher,CN4IFFBKEZ,376.509,3,0.3,-43.0296
6058,EMEA-2020-107524,3/2/2020,20200302,United Kingdom,EMEA,UKIR,Intel,1051,Tech,Enterprise,SaaS Connector Pack - Gold,XIYA6ZLU1P,11.36,2,0,5.3392
6059,EMEA-2020-107524,3/2/2020,20200302,United Kingdom,EMEA,UKIR,Intel,1051,Tech,Enterprise,Support,CMGCER78Q3,36.4,5,0,17.472
9946,EMEA-2020-111157,3/2/2020,20200302,France,EMEA,EU-WEST,Trafigura Group,1100,Finance,Strategic,Support,6BS8TLRLGR,3.424,1,0.2,1.07
9947,EMEA-2020-111157,3/2/2020,20200302,France,EMEA,EU-WEST,Trafigura Group,1100,Finance,Strategic,Data Smasher,R0F3MQRPXS,151.2,3,0.2,32.13
556,EMEA-2020-155852,3/3/2020,20200303,Sweden,EMEA,NOR,Airbus,1030,Manufacturing,SMB,ChatBot Plugin,8CHJ1MPU0D,19.456,4,0.2,3.4048
1163,EMEA-2020-127964,3/3/2020,20200303,United Kingdom,EMEA,UKIR,CVS Health,1026,Retail,Enterprise,Site Analytics,EEXZF71T7M,9.99,1,0,4.5954
1164,EMEA-2020-127964,3/3/2020,20200303,United Kingdom,EMEA,UKIR,CVS Health,1026,Retail,Enterprise,ContactMatcher,YMTAR5IJ8P,125.76,3,0.2,40.872
1165,EMEA-2020-127964,3/3/2020,20200303,United Kingdom,EMEA,UKIR,CVS Health,1026,Retail,Enterprise,ContactMatcher,JVDTQ3D7VF,25.32,5,0.2,9.1785
7247,AMER-2020-127978,3/3/2020,20200303,Mexico,AMER,LATAM,Anthem,1029,Healthcare,Strategic,FinanceHub,XK6DR1M154,15.12,3,0.2,4.914
7248,AMER-2020-127978,3/3/2020,20200303,Mexico,AMER,LATAM,Anthem,1029,Healthcare,Strategic,Marketing Suite,XBGUQHUWA6,302.45,5,0.5,-199.617
7249,AMER-2020-127978,3/3/2020,20200303,Mexico,AMER,LATAM,Anthem,1029,Healthcare,Strategic,Marketing Suite - Gold,LH2KVNCV8G,44.672,8,0.2,-10.0512
7349,APJ-2020-130421,3/3/2020,20200303,Japan,APJ,JAPN,ConocoPhillips,1024,Energy,SMB,OneView,H2P364FUTK,176.772,3,0.8,-459.6072
8712,AMER-2020-105648,3/3/2020,20200303,United States,AMER,NAMER,Ford Motor,1009,Manufacturing,SMB,ContactMatcher,CYZ40PHADW,626.352,3,0.2,-23.4882
1565,AMER-2020-116239,3/4/2020,20200304,Colombia,AMER,LATAM,Walmart,1096,Retail,SMB,Marketing Suite - Gold,AFPQHIGAE3,354.9,5,0,17.745
4422,EMEA-2020-117016,3/4/2020,20200304,Germany,EMEA,EU-WEST,Anthem,1029,Healthcare,SMB,ChatBot Plugin,CIHJ6Z5AAN,15.552,3,0.2,2.3328
8497,EMEA-2020-169061,3/5/2020,20200305,United Kingdom,EMEA,UKIR,Lukoil,1044,Energy,SMB,ChatBot Plugin,EGE27FVRNE,59.52,3,0,15.4752
8498,EMEA-2020-169061,3/5/2020,20200305,United Kingdom,EMEA,UKIR,Lukoil,1044,Energy,SMB,Data Smasher,I4DLQ2N2G7,479.97,3,0,177.5889
8499,EMEA-2020-169061,3/5/2020,20200305,United Kingdom,EMEA,UKIR,Lukoil,1044,Energy,SMB,Support,CEMDWNN0NE,18.62,2,0,5.3998
8500,EMEA-2020-169061,3/5/2020,20200305,United Kingdom,EMEA,UKIR,Lukoil,1044,Energy,SMB,ContactMatcher,2FX2SUGYXE,49.632,6,0.2,16.7508
